address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"1717 Broadway, New York City, NY 10019-5214",,114,3,0,2,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d7316142-Reviews-Courtyard-New_York_City_New_York.html,4.0,505,Courtyard,6 reviews,100
"50 W 34th St, New York City, NY 10001-3097","Pool,Fitness Center with Gym / Workout Room,Business Center with Internet Access,Non-smoking hotel,Dry cleaning,Kitchenette,Refrigerator,Non-smoking rooms",117,4,15,15,14,4,https://www.tripadvisor.com/Hotel_Review-g60763-d320562-Reviews-YourStay_MidTown_Apartments-New_York_City_New_York.html,3.0,572,YourStay MidTown Apartments,52 reviews,100
"24 E 38th St, New York City, NY 10016-2502","Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Free breakfast,Non-smoking hotel,Self-serve laundry,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites",83,0,1,3,4,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1146086-Reviews-Oakwood_24_East_38th_Street-New_York_City_New_York.html,4.0,440,Oakwood 24 East 38th Street,8 reviews,100
"315 W 94th St, New York City, NY 10025-6829",Air conditioning,9,8,37,3,8,9,https://www.tripadvisor.com/Hotel_Review-g60763-d557499-Reviews-Mount_Royal_Hotel_Hostel-New_York_City_New_York.html,2.0,87,Mount Royal Hotel & Hostel,65 reviews,100
"262 West 73 Street, New York City, NY 10023-8800","Non-smoking hotel,Kitchenette,Non-smoking rooms,Suites",27,0,1,0,1,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1488823-Reviews-Kore_Properties_73-New_York_City_New_York.html,2.5,132,Kore Properties 73,3 reviews,100
"100 Greenwich St, New York City, NY 10006-1801",,54,1,2,1,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d15789204-Reviews-Fairfield_Inn_Suites-New_York_City_New_York.html,3.0,242,Fairfield Inn & Suites,5 reviews,100
,,,1,2,0,1,0,https://www.tripadvisor.com/Hotel_Review-g60763-d1699664-Reviews-Sakuratei-New_York_City_New_York.html,2.5,,Sakuratei,4 reviews,
"100 Maiden Ln, New York City, NY 10038-4818",,64,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d2421798-Reviews-Wall_Street_Residences_by_East_Coast-New_York_City_New_York.html,1.0,405,Wall Street Residences by East Coast,1 review,100
"22 Platt St, New York City, NY 10038-4805",,62,1,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g60763-d1177257-Reviews-Wall_Street_District_Hotel-New_York_City_New_York.html,2.5,384,Wall Street District Hotel,3 reviews,100
"823 Avenue of the Americas, New York City, NY 10001-6356",,111,3,7,7,9,5,https://www.tripadvisor.com/Hotel_Review-g60763-d1497821-Reviews-NY_Oyado-New_York_City_New_York.html,3.0,460,NY Oyado,31 reviews,100
